year,state,control,governor_party,legislature_control,legislature_seats,house_seats,house_dem,house_rep,house_vacant,house_other,senate_seats,senate_dem,senate_rep,senate_vacant,senate_other,unicameral_seats,unicameral_dem,unicameral_rep,unicameral_vacant,unicameral_other
2012,Alabama,Rep,Rep,Rep,140,105,40,65,0,0,35,12,22,0,1,0,0,0,0,0
2012,Alaska,Divided,Rep,Split,60,40,18,22,0,0,20,10,10,0,0,0,0,0,0,0
2012,Arizona,Rep,Rep,Rep,90,60,20,40,0,0,30,9,21,0,0,0,0,0,0,0
2012,Arkansas,Dem,Dem,Dem,135,100,55,45,0,0,35,20,15,0,0,0,0,0,0,0
2012,California,Dem,Dem,Dem,120,80,52,28,0,0,40,25,15,0,0,0,0,0,0,0
2012,Colorado,Divided,Dem,Split,100,65,32,33,0,0,35,20,15,0,0,0,0,0,0,0
2012,Connecticut,Dem,Dem,Dem,187,151,100,51,0,0,36,22,14,0,0,0,0,0,0,0
2012,Delaware,Dem,Dem,Dem,62,41,26,15,0,0,21,14,7,0,0,0,0,0,0,0
2012,Florida,Rep,Rep,Rep,160,120,39,81,0,0,40,12,28,0,0,0,0,0,0,0
2012,Georgia,Rep,Rep,Rep,236,180,63,115,1,1,56,20,36,0,0,0,0,0,0,0
2012,Hawaii,Dem,Dem,Dem,76,51,43,8,0,0,25,24,1,0,0,0,0,0,0,0
2012,Idaho,Rep,Rep,Rep,105,70,13,57,0,0,35,7,28,0,0,0,0,0,0,0
2012,Illinois,Dem,Dem,Dem,177,118,64,54,0,0,59,35,24,0,0,0,0,0,0,0
2012,Indiana,Rep,Rep,Rep,150,100,40,60,0,0,50,13,37,0,0,0,0,0,0,0
2012,Iowa,Divided,Rep,Split,150,100,40,60,0,0,50,26,24,0,0,0,0,0,0,0
2012,Kansas,Rep,Rep,Rep,165,125,33,92,0,0,40,8,32,0,0,0,0,0,0,0
2012,Kentucky,Divided,Dem,Split,138,100,59,41,0,0,38,15,22,0,1,0,0,0,0,0
2012,Louisiana,Rep,Rep,Rep,144,105,45,58,0,2,39,15,24,0,0,0,0,0,0,0
2012,Maine,Rep,Rep,Rep,186,151,72,78,0,1,35,14,20,0,1,0,0,0,0,0
2012,Maryland,Dem,Dem,Dem,188,141,98,43,0,0,47,35,12,0,0,0,0,0,0,0
2012,Massachusetts,Dem,Dem,Dem,200,160,126,32,2,0,40,35,4,1,0,0,0,0,0,0
2012,Michigan,Rep,Rep,Rep,148,110,46,62,2,0,38,12,26,0,0,0,0,0,0,0
2012,Minnesota,Divided,Dem,Rep,201,134,61,72,1,0,67,29,37,1,0,0,0,0,0,0
2012,Mississippi,Rep,Rep,Rep,174,122,58,64,0,0,52,21,31,0,0,0,0,0,0,0
2012,Missouri,Divided,Dem,Rep,197,163,56,106,0,1,34,8,26,0,0,0,0,0,0,0
