state,total_seats,total_senate,senate_dem,senate_gop,senate_other,total_house,house_dem,house_gop,house_other,legis_control,gov_party,state_control
Alabama,140,35,21,14,0,105,60,45,0,Dem,Rep,Divided
Alaska,60,20,10,10,0,40,18,22,0,Split,Rep,Divided
Arizona,90,30,12,18,0,60,25,35,0,Rep,Rep,Rep
Arkansas,135,35,27,8,0,100,71,28,1,Dem,Dem,Dem
California,120,40,25,14,1v,80,49,29,"1, 1v",Dem,Rep,Divided
Colorado,100,35,21,14,0,65,37,27,1,Dem,Dem,Dem
Connecticut,187,36,24,12,0,151,114,36,1v,Dem,Rep,Divided
Delaware,62,21,15,6,0,41,24,17,0,Dem,Dem,Dem
Florida,160,40,14,26,0,120,43,76,1v,Rep,Rep,Rep
Georgia,236,56,21,34,1v,180,74,105,1,Rep,Rep,Rep
Hawaii,76,25,23,2,0,51,45,6,0,Dem,Rep,Divided
Idaho,105,35,7,28,0,70,18,52,0,Rep,Rep,Rep
Illinois,177,59,37,22,0,118,70,48,0,Dem,Dem,Dem
Indiana,150,50,17,33,0,100,52,48,0,Split,Rep,Divided
Iowa,150,50,32,18,0,100,56,44,0,Dem,Dem,Dem
Kansas,165,40,9,31,0,125,49,76,0,Rep,Dem,Divided
Kentucky,138,38,17,20,1,100,65,35,0,Split,Dem,Divided
Louisiana,144,39,23,16,0,105,52,50,3,Dem,Rep,Divided
Maine,186,35,20,15,0,151,95,55,1,Dem,Dem,Dem
Maryland,188,47,33,14,0,141,104,36,1v,Dem,Dem,Dem
Massachusetts,200,40,34,5,1v,160,144,16,0,Dem,Dem,Dem
Michigan,148,38,16,22,0,110,66,43,1v,Split,Dem,Divided
Minnesota,201,67,46,21,0,134,87,47,0,Dem,Rep,Divided
Mississippi,174,52,26,25,1v,122,74,48,0,Dem,Rep,Divided
Missouri,197,34,11,23,0,163,73,89,1v,Rep,Dem,Divided
Montana,150,50,23,27,0,100,50,50,0,Split,Dem,Divided
Nebraska,49,49,,,49,N/A,N/A,N/A,N/A,N/A,Rep,N/A
Nevada,63,21,12,8,1v,42,28,14,0,Dem,Rep,Divided
New Hampshire,424,24,14,10,0,400,222,175,3v,Dem,Dem,Dem
New Jersey,120,40,23,17,0,80,47,33,0,Dem,Rep,Divided
New Mexico,112,42,27,15,0,70,45,25,0,Dem,Dem,Dem
New York,212,62,32,30,0,150,109,41,0,Dem,Dem,Dem
North Carolina,170,50,30,20,0,120,68,52,0,Dem,Dem,Dem
North Dakota,141,47,21,26,0,94,36,58,0,Rep,Rep,Rep
Ohio,132,33,12,21,0,99,53,46,0,Split,Dem,Divided
Oklahoma,149,48,22,26,0,101,40,61,0,Rep,Dem,Divided
Oregon,90,30,18,12,0,60,36,24,0,Dem,Dem,Dem
Pennsylvania,253,50,20,30,0,203,103,97,3v,Split,Dem,Divided
Rhode Island,113,38,33,4,1,75,69,6,0,Dem,Rep,Divided
South Carolina,170,46,19,27,0,124,51,73,0,Rep,Rep,Rep
South Dakota,105,35,14,21,0,70,24,46,0,Rep,Rep,Rep
Tennessee,132,33,14,19,0,99,47,50,"1, 1v",Rep,Dem,Divided
Texas,181,31,12,19,0,150,73,77,0,Rep,Rep,Rep
Utah,104,29,8,21,0,75,22,53,0,Rep,Rep,Rep
Vermont,180,30,22,7,1,150,95,48,7,Dem,Rep,Divided
Virginia,140,40,22,18,0,100,39,59,2,Split,Rep,Divided
Washington,147,49,31,18,0,98,62,36,0,Dem,Dem,Dem
West Virginia,134,34,26,8,0,100,71,29,0,Dem,Dem,Dem
Wisconsin,132,33,18,15,0,99,52,46,1,Dem,Dem,Dem
Wyoming,90,30,7,23,0,60,19,41,0,Rep,Dem,Divided
Total,7382,1971,1021,893,"5v, 52",5411,3026,2353,"19, 13v","27D, 14R, 8 Split","26D, 24R","16D, 9R, 24 Div"
